,Unnamed: 0,country,itemId,paymentMethod,postalCode,sellingStatus,topRatedListing,AutoPay,AvailableForPickupDropOff,BestOfferEnabled,BidCount,BuyItNowPrice,FinalPrice,GlobalShipping,HandlingTime,HitCount,ListingStatus,ListingType,Location,MinimumToBid,ProductID,Quantity,QuantityThreshold,ReserveMet,ShipToLocations,Title,UserID,FeedbackScore,PositiveFeedbackPercent,SellerBusinessType,NewUser,nPhotos,nPaymentMethods,nShippingCountries,conditionId,bestOfferEnabled,buyItNowAvailable,expeditedShipping,shippingType,oneDayShippingAvailable,RatingsPresent,AverageRating,NegFeedback30Day,NegFeedback365Day,PosFeedback30Day,PosFeedback365Day,auctionLength,enoughKeyWords
0,0,1,131642735687,1,10590,1,False,False,0,False,41,,202.09,False,2.0,190.0,Completed,1,"South Salem, New York",204.59,,1,0.0,,US,iPhone 5s-32gb-Space Gray-unlocked,jdwein1980,19,100.0,2,False,3,1,1,4,False,False,True,2.0,False,False,,0,0,5,5,168.0,False
1,1,1,262126933108,1,35004,1,False,False,0,False,4,,260.0,False,3.0,32.0,Completed,1,"Moody, Alabama",265.0,,1,0.0,,US,apple iphone 5s 32gb,forwhlrcr1965,565,100.0,1,False,2,1,1,4,False,False,True,0.0,False,False,,0,0,3,32,120.0,False
2,2,1,252155964081,1,98104,1,False,False,0,False,3,,152.5,False,2.0,168.0,Completed,1,"Seattle, Washington",155.0,168534287.0,1,0.0,,Worldwide,Apple iPhone 5s - 32GB SPACE GRAY AT&T,15-alice,15,94.1,1,False,2,1,1,4,False,False,False,1.0,False,False,,0,1,2,17,120.0,True
3,3,1,252163774777,1,98104,1,False,False,0,False,1,,99.0,False,2.0,143.0,Completed,1,"Seattle, Washington",100.0,168553370.0,1,0.0,,US,Apple iPhone 5s - 32GB - Silver (Verizon) Smartphone,15-alice,15,94.1,1,False,7,1,1,0,False,False,True,0.0,False,False,,0,1,2,17,120.0,False
4,4,1,252171170160,1,98104,1,False,True,0,False,5,,96.0,False,2.0,357.0,Completed,1,"Seattle, Washington",97.0,168534287.0,1,0.0,,US,Apple iPhone 5s - 32GB SPACE GRAY AT&T,15-alice,15,94.1,1,False,2,1,1,4,False,False,False,1.0,False,False,,0,1,2,17,120.0,True
5,5,1,252171162991,1,98104,1,False,False,0,False,3,,82.0,False,2.0,305.0,Completed,1,"Seattle, Washington",83.0,168553370.0,1,0.0,,US,Apple iPhone 5s - 32GB - Silver (Verizon) Smartphone,15-alice,15,94.1,1,False,7,1,1,0,False,False,True,0.0,False,False,,0,1,2,17,120.0,False
6,6,1,252178676468,1,98104,1,False,False,0,False,11,,96.0,False,2.0,229.0,Completed,1,"Seattle, Washington",97.0,168553370.0,1,0.0,,US,Apple iPhone 5s - 32GB - Silver (Verizon) Smartphone,15-alice,15,94.1,1,False,7,1,1,0,False,False,True,0.0,False,False,,0,1,2,17,120.0,False
7,7,1,171993101164,1,27045,1,False,True,0,False,0,,255.0,True,2.0,18.0,Completed,0,"Rural Hall, North Carolina",,168553370.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5s 32GB CUSTOM BlacK/Silver Verizon Smartphone Unlocked CLEAN ESN ,clint22468,802,99.5,1,False,12,1,49,4,False,False,False,3.0,False,True,4.9275,0,1,41,210,0.0,False
8,8,1,172006197886,1,27045,1,False,True,0,False,11,,197.5,True,2.0,470.0,Completed,1,"Rural Hall, North Carolina",200.0,168553370.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5 32GB CUSTOM BlacK/Silver Verizon Smartphone Unlocked CLEAN ESN,clint22468,802,99.5,1,False,12,1,48,4,False,False,False,3.0,False,True,4.9275,0,1,41,210,168.0,False
9,9,1,272034040829,1,33487,0,False,False,0,False,7,330.0,207.5,True,2.0,49.0,Completed,1,"Boca Raton, Florida",210.0,168534287.0,1,0.0,0.0,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,slipknot23gsr,66,83.3,2,False,3,1,48,4,False,True,True,2.0,False,False,,0,1,2,5,168.0,True
